,semivariance,n_pairs,lag_bin,azimuth
108,0.07856194353087405,3423,60.99999999999982,45.0
109,0.08208124194775995,2138,63.666666666666494,45.0
110,0.08591321669774665,3417,66.33333333333317,45.0
111,0.08706404910352869,2350,68.99999999999984,45.0
112,0.0909007868330392,2657,71.66666666666652,45.0
113,0.09251299905128109,2286,74.33333333333319,45.0
114,0.09529984776865921,2321,76.99999999999986,45.0
115,0.09266744262718545,1793,79.66666666666653,45.0
116,0.09982795870751623,1800,82.3333333333332,45.0
117,0.09299462237092665,2104,84.99999999999987,45.0
118,0.09975252908146287,1074,87.66666666666654,45.0
119,0.08583124953706268,1367,90.33333333333321,45.0
120,0.10149175496558348,1332,92.99999999999989,45.0
121,0.09640925918915218,1298,95.66666666666656,45.0
122,0.10267014653094299,935,98.33333333333323,45.0
